HORA: Thu Oct 24 20:11:19 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:11:19 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:11:44 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:42:09 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:42:09 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:42:13 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:52:45 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:52:45 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:52:48 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:54:29 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:54:29 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:54:32 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:55:31 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:55:31 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 20:55:56 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:00:04 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:00:22 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:00:22 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:00:26 BRT 2019 | ERRO: javax.persistence.EntityNotFoundException: Unable to find entidade.Faces with id 12
HORA: Thu Oct 24 21:05:46 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:09:12 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:09:12 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:09:17 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:09:40 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:09:40 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:09:50 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:11:24 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:11:36 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:15:15 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:15:15 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:16:54 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:16:55 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:17:31 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:17:32 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:19:27 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:20:09 BRT 2019 | ERRO: java.lang.NumberFormatException: empty String
HORA: Thu Oct 24 21:20:30 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:20:30 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:21:16 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:22:23 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:22:23 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:29:55 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:29:56 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 21:29:56 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:11:27 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:12:20 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:12:23 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:12:26 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:12:30 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:12:33 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:16:25 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:17:19 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:22:41 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:22:41 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:24:49 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:28:56 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:29:25 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:29:59 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:30:40 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:30:48 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:31:19 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
